pl_id,pl_name,st_mass,pl_orbper,st_teff,st_dist,pl_bmassj,pl_eqt,st_dist_km,years_by_car,years_by_plane,years_by_rocket,pl_mass_e
413,K2-228 b,0.71,2.69828,4715.0,142.4,,641.0,4397041690168320.0,3453535729.004336,690707145.8008671,17130633.576410394,
666,WASP-85 b,1.09,2.6556777,6112.0,142.46,1.265,1179.0,4398894376273727.5,3454990870.4631853,690998174.0926371,17137851.53999596,402.017
159,HAT-P-12 b,0.73,3.2130598,4650.0,142.5,0.21100000000000002,690.0,4400129500343999.5,3455960964.769085,691192192.953817,17142663.51571967,67.0558
259,WASP-104 b,1.08,1.7554136999999999,5475.0,143.0,1.272,1243.0,4415568551222401.0,3468087143.5928373,693617428.7185676,17202813.21226606,404.2416
671,K2-153 b,0.55,7.515739999999999,3845.0,143.6,,224.0,4434095412276479.5,3482638558.1813383,696527711.6362675,17274992.848121718,
25,HAT-P-54 b,0.65,3.799847,4390.0,144.25,0.76,545.0,4454166178418399.0,3498402590.652214,699680518.1304429,17353187.453632016,241.52800000000002
43,Kepler-68 b,1.08,5.3988,5793.0,144.77,0.024069999999999998,1007.0,4470222791331935.5,3511013816.6289153,702202763.3257831,17415743.13804026,7.649445999999999
219,1RXS J160929.1-210524 b,0.85,,4060.0,145.0,8.0,1427.0,4477324754735999.5,3516591858.887841,703318371.7775682,17443411.998451594,2542.4
155,GSC 06214-00210 b,0.9,,4200.0,145.0,16.0,2027.0,4477324754735999.5,3516591858.887841,703318371.7775682,17443411.998451594,5084.8
571,HIP 79098 AB b,3.75,,,146.3,20.5,2177.0,4517466287019839.0,3548119923.829594,709623984.7659187,17599801.209472194,6514.900000000001
490,HD 202772 b,1.72,3.308958,6272.0,147.2,1.0170000000000001,1859.0,4545256578600959.0,3569947045.7123466,713989409.1424692,17708070.663255684,323.2026000000001
453,K2-251 b,0.52,9.30075,3717.0,147.7,,164.0,4560695629479359.0,3582073224.5360975,716414644.9072195,17768220.35980207,
31,HATS-6 b,0.57,3.3252725,3724.0,148.4,0.319,440.0,4582310300709119.0,3599049874.8893485,719809974.9778697,17852429.93496701,101.3782
439,K2-241 b,0.71,26.8199,5262.0,149.6,,234.0,4619364022817279.0,3628152704.0663514,725630540.8132703,17996789.206678335,
358,WASP-74 b,0.98,2.13775,5990.0,149.85,0.72,1653.0,4627083548256480.0,3634215793.4782276,726843158.6956457,18026864.05495153,228.816
658,K2-156 b,0.66,0.81314,4597.0,150.4,,1074.0,4644066504222720.0,3647554590.184355,729510918.0368708,18093028.72115255,
711,WASP-91 b,0.84,2.798581,4920.0,150.59,1.34,887.0,4649933343556511.0,3652162538.137379,730432507.6274757,18115885.605840176,425.85200000000003
354,WASP-97 b,1.18,2.0727599999999997,5640.0,151.73,1.36,1282.0,4685134379559263.0,3679810225.855532,735962045.1711063,18253026.913965933,432.208
123,GQ Lup b,0.7,,,151.82,20.0,2377.0,4687913408717376.0,3681992938.0438075,736398587.6087615,18263853.859344285,6356.0
222,Kepler-411 c,0.87,7.834435000000001,,153.59,0.08306000000000001,565.0,4742567648826911.0,3724919611.079886,744983922.2159772,18476783.785118483,26.396468000000002
603,Kepler-411 e,0.87,31.50972800000001,,153.59,0.03398,230.0,4742567648826911.0,3724919611.079886,744983922.2159772,18476783.785118483,10.798844
602,Kepler-411 d,0.87,58.02035,,153.59,0.04782,137.0,4742567648826911.0,3724919611.079886,744983922.2159772,18476783.785118483,15.197196000000002
238,Kepler-411 b,0.87,3.005156,,153.59,0.08055,865.0,4742567648826911.0,3724919611.079886,744983922.2159772,18476783.785118483,25.59879
770,K2-131 b,0.84,0.36930999999999997,5245.0,153.7,,1789.0,4745964240020159.0,3727587370.4211116,745517474.0842223,18490016.718358688,
296,WASP-2 b,0.9,2.152175,5180.0,153.89,0.9309999999999999,1038.0,4751831079353951.0,3732195318.3741364,746439063.6748273,18512873.603046317,295.8718
388,K2-139 b,0.96,28.380619,5370.0,154.6,,251.0,4773754531601279.0,3749414492.3038635,749882898.4607728,18598286.17214218,
478,K2-285 d,0.83,10.45582,4975.0,155.65,0.02045,347.0,4806176538445920.0,3774879467.833742,754975893.5667484,18724600.534889594,6.49901
476,K2-285 b,0.83,3.471745,4975.0,155.65,0.03046,816.0,4806176538445920.0,3774879467.833742,754975893.5667484,18724600.534889594,9.680188000000001
477,K2-285 c,0.83,7.1380479999999995,4975.0,155.65,0.04933,468.0,4806176538445920.0,3774879467.833742,754975893.5667484,18724600.534889594,15.677074000000001
479,K2-285 e,0.83,14.762889999999999,4975.0,155.65,0.03367,228.0,4806176538445920.0,3774879467.833742,754975893.5667484,18724600.534889594,10.700326
374,K2-182 b,0.88,4.736837,5165.0,155.9,,612.0,4813896063885120.0,3780942557.2456174,756188511.4491235,18754675.383162785,
214,Kepler-538 b,0.89,81.73778,5547.0,156.66,0.03335,107.0,4837363421220288.0,3799374349.057719,759874869.8115438,18846102.92191329,10.59863
48,HIP 78530 b,2.5,,10500.0,156.7,23.0,2427.0,4838598545290560.0,3800344443.3636193,760068888.6727238,18850914.897637002,7309.400000000001
261,WASP-117 b,1.29,10.02165,6040.0,158.69,0.3,751.0,4900045967786591.0,3848606635.0821476,769721327.0164295,19090310.68989161,95.34
591,K2-287 b,1.06,14.893291,5695.0,159.05,0.315,531.0,4911162084419040.0,3857337483.8352494,771467496.7670499,19133618.47140501,100.107
255,WASP-99 b,1.21,5.75251,6150.0,159.39,2.43,1207.0,4921660639016351.0,3865583285.4353995,773116657.0870799,19174520.265056547,772.2540000000001
156,HAT-P-1 b,1.15,4.46529976,5980.0,159.71,0.525,1049.0,4931541631578528.0,3873344039.8826013,774668807.9765203,19213016.070846237,166.845
295,K2-55 b,0.7,2.8492580000000003,4456.0,160.26,,627.0,4948524587544768.0,3886682836.5887275,777336567.3177454,19279180.737047262,
762,K2-123 b,0.62,30.951524,4035.0,162.36,,65.0,5013368601234047.0,3937612787.648482,787522557.5296963,19531809.462542076,
298,WASP-7 b,1.28,4.9546415999999995,6400.0,163.05,0.96,1214.0,5034674491446239.0,3954346914.4252586,790869382.8850517,19614816.043776084,305.088
423,K2-263 b,0.88,50.818946999999994,5368.0,163.23,0.04657,197.0,5040232549762463.0,3958712338.801809,791742467.7603618,19636469.934532784,14.799946
748,WASP-136 b,1.41,5.215357,6260.0,164.0,1.51,1469.0,5064008688115200.0,3977386654.1903863,795477330.8380773,19729100.46721422,479.87800000000004
322,WASP-41 b,0.81,3.0524,5545.0,164.14,0.85,971.0,5068331622361151.0,3980781984.261036,796156396.8522073,19745942.382247202,270.13
218,WASP-41 c,0.81,421.0,5545.0,164.14,3.18,-32.0,5068331622361151.0,3980781984.261036,796156396.8522073,19745942.382247202,1010.604
583,TOI-132 b,0.97,2.1097019,5397.0,164.47,0.07048,1122.0,5078521395940895.0,3988785262.284712,797757052.4569423,19785641.181967817,22.398544
